ElectionId,Date,Description,Type,Name,OfficialResults,CountyName,PartyCode,PartyName,TicketCode,OfficeCode,OfficeDescription,District,DistrictName,Division,DivisionName,Votes,TotalVotes,Percentage
13,11/5/12 0:00,General Election - November 6 2012,County,BARACK OBAMA,Yes,Jefferson,D,Democrat,N,AA,U.S. President,0,,0,,10398,22138,46.97%
13,11/5/12 0:00,General Election - November 6 2012,County,BARACK OBAMA,Yes,Monongalia,D,Democrat,N,AA,U.S. President,0,,0,,13826,31475,43.93%
13,11/5/12 0:00,General Election - November 6 2012,County,BARACK OBAMA,Yes,Kanawha,D,Democrat,N,AA,U.S. President,0,,0,,32480,75077,43.26%
13,11/5/12 0:00,General Election - November 6 2012,County,BARACK OBAMA,Yes,Brooke,D,Democrat,N,AA,U.S. President,0,,0,,4005,9294,43.09%
13,11/5/12 0:00,General Election - November 6 2012,County,BARACK OBAMA,Yes,Cabell,D,Democrat,N,AA,U.S. President,0,,0,,13568,32144,42.21%
13,11/5/12 0:00,General Election - November 6 2012,County,BARACK OBAMA,Yes,Braxton,D,Democrat,N,AA,U.S. President,0,,0,,1998,4804,41.59%
13,11/5/12 0:00,General Election - November 6 2012,County,BARACK OBAMA,Yes,Marion,D,Democrat,N,AA,U.S. President,0,,0,,8959,21542,41.59%
13,11/5/12 0:00,General Election - November 6 2012,County,BARACK OBAMA,Yes,Mason,D,Democrat,N,AA,U.S. President,0,,0,,3778,9789,38.59%
13,11/5/12 0:00,General Election - November 6 2012,County,BARACK OBAMA,Yes,Fayette,D,Democrat,N,AA,U.S. President,0,,0,,5419,14070,38.51%
13,11/5/12 0:00,General Election - November 6 2012,County,BARACK OBAMA,Yes,Roane,D,Democrat,N,AA,U.S. President,0,,0,,1939,5047,38.42%
13,11/5/12 0:00,General Election - November 6 2012,County,BARACK OBAMA,Yes,Berkeley,D,Democrat,N,AA,U.S. President,0,,0,,14275,37172,38.40%
13,11/5/12 0:00,General Election - November 6 2012,County,BARACK OBAMA,Yes,Hancock,D,Democrat,N,AA,U.S. President,0,,0,,4627,12118,38.18%
13,11/5/12 0:00,General Election - November 6 2012,County,BARACK OBAMA,Yes,Ohio,D,Democrat,N,AA,U.S. President,0,,0,,6786,17911,37.89%
13,11/5/12 0:00,General Election - November 6 2012,County,BARACK OBAMA,Yes,Wetzel,D,Democrat,N,AA,U.S. President,0,,0,,2217,5856,37.86%
13,11/5/12 0:00,General Election - November 6 2012,County,BARACK OBAMA,Yes,Harrison,D,Democrat,N,AA,U.S. President,0,,0,,9732,26147,37.22%
13,11/5/12 0:00,General Election - November 6 2012,County,BARACK OBAMA,Yes,Calhoun,D,Democrat,N,AA,U.S. President,0,,0,,818,2207,37.06%
13,11/5/12 0:00,General Election - November 6 2012,County,BARACK OBAMA,Yes,Pocahontas,D,Democrat,N,AA,U.S. President,0,,0,,1303,3576,36.44%
13,11/5/12 0:00,General Election - November 6 2012,County,BARACK OBAMA,Yes,Greenbrier,D,Democrat,N,AA,U.S. President,0,,0,,4710,12963,36.33%
13,11/5/12 0:00,General Election - November 6 2012,County,BARACK OBAMA,Yes,Wayne,D,Democrat,N,AA,U.S. President,0,,0,,4931,13955,35.34%
13,11/5/12 0:00,General Election - November 6 2012,County,BARACK OBAMA,Yes,Marshall,D,Democrat,N,AA,U.S. President,0,,0,,4484,12916,34.72%
13,11/5/12 0:00,General Election - November 6 2012,County,BARACK OBAMA,Yes,Webster,D,Democrat,N,AA,U.S. President,0,,0,,947,2755,34.37%
13,11/5/12 0:00,General Election - November 6 2012,County,BARACK OBAMA,Yes,Randolph,D,Democrat,N,AA,U.S. President,0,,0,,3342,9754,34.26%
13,11/5/12 0:00,General Election - November 6 2012,County,BARACK OBAMA,Yes,Summers,D,Democrat,N,AA,U.S. President,0,,0,,1621,4735,34.23%
13,11/5/12 0:00,General Election - November 6 2012,County,BARACK OBAMA,Yes,McDowell,D,Democrat,N,AA,U.S. President,0,,0,,2109,6188,34.08%
13,11/5/12 0:00,General Election - November 6 2012,County,BARACK OBAMA,Yes,Pleasants,D,Democrat,N,AA,U.S. President,0,,0,,955,2840,33.63%
